prub,Fcislo,lok,Lokcode,loctyp,klimabox,Otemp_act,Oprec_act,TreatTemo,TreatPrec,Tmcomb,Treatment,length,weight,SRzL,,changeTc,changeMc,changemerged,changeT,changeM,SRzL,Total biomass,Total biomass log,Aboveground,koreny-vaha,rhi-del,rhi-vah,biomass excluding rhizome,total ramets,ramets per unit length,1odnoze extra-pocet,ext ramets per length,logext ramets per length
276,653,Fau,T3_M1,LOW1,A,3,1,1,4,14,Cold_Wet,4.4,0.0087,505.7471264,Mc,Tc-2,Mc3,Tc-2_Mc3,-2,3,505.7471264,1.3257,0.52188307,0.15,0.729,4.4,0.0087,1.317,7,1.590909091,0,0.001,0.000434077
278,297,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,2.9,0.0044,659.0909091,Mc,Tc0,Mc0,Tc0_Mc0,0,0,659.0909091,1.6354,0.560552203,0.191,0.914,2.9,0.0044,1.631,16,5.517241379,0,0.001,0.000434077
279,543,Ulv,T1_M1,ALP1,A,1,1,1,4,14,Cold_Wet,4.5,0.0085,529.4117647,Mc,Tc0,Mc3,Tc0_Mc3,0,3,529.4117647,2.5495,0.657963669,0.595,1.751,4.5,0.0085,2.541,8,1.777777778,0,0.001,0.000434077
292,678,Fau,T3_M1,LOW1,A,3,1,1,4,14,Cold_Wet,8.6,0.014,614.2857143,Mc,Tc-2,Mc3,Tc-2_Mc3,-2,3,614.2857143,1.513,0.54567815,0.052,1.161,8.6,0.014,1.499,8,0.930232558,0,0.001,0.000434077
294,308,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,12.2,0.0271,450.1845018,Mc,Tc0,Mc0,Tc0_Mc0,0,0,450.1845018,1.2891,0.517077078,0.066,0.824,12.2,0.0271,1.262,14,1.147540984,0,0.001,0.000434077
297,431,Ovst,T3_M4,LOW4,A,3,4,1,4,14,Cold_Wet,12.7,0.0155,819.3548387,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,819.3548387,2.8285,0.683812236,0.582,1.548,12.7,0.0155,2.813,11,0.866141732,0,0.001,0.000434077
299,576,Ulv,T1_M1,ALP1,A,1,1,1,4,14,Cold_Wet,0.9,0.001,900,Mc,Tc0,Mc3,Tc0_Mc3,0,3,900,1.514,0.545801757,0.252,0.931,0.9,0.001,1.513,6,6.666666667,0,0.001,0.000434077
305,433,Ovst,T3_M4,LOW4,A,3,4,1,4,14,Cold_Wet,4.5,0.0116,387.9310345,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,387.9310345,2.3986,0.64331447,0.289,1.414,4.5,0.0116,2.387,15,3.333333333,0,0.001,0.000434077
306,318,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,5.3,0.0056,946.4285714,Mc,Tc0,Mc0,Tc0_Mc0,0,0,946.4285714,1.5456,0.549689739,0.248,1.045,5.3,0.0056,1.54,10,1.886792453,0,0.001,0.000434077
309,443,Ovst,T3_M4,LOW4,A,3,4,1,4,14,Cold_Wet,8.6,0.0096,895.8333333,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,895.8333333,1.7566,0.574794954,0.184,0.905,8.6,0.0096,1.747,5,0.581395349,0,0.001,0.000434077
310,319,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,8.2,0.0221,371.040724,Mc,Tc0,Mc0,Tc0_Mc0,0,0,371.040724,1.1581,0.499425878,0.044,0.771,8.2,0.0221,1.136,7,0.853658537,0,0.001,0.000434077
313,447,Ovst,T3_M4,LOW4,A,3,4,1,4,14,Cold_Wet,4.5,0.005,900,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,900,3.05,0.703291378,0.278,2.318,4.5,0.005,3.045,14,3.111111111,0,0.001,0.000434077
317,472,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,1.8,0.0048,375,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,375,2.2098,0.624261464,0.49,1.15,1.8,0.0048,2.205,9,5,0,0.001,0.000434077
319,55,Hog,T2_M2,INT2,A,2,2,1,4,14,Cold_Wet,3.1,0.0081,382.7160494,Mc,Tc-1,Mc2,Tc-1_Mc2,-1,2,382.7160494,1.7521,0.574274405,0.455,1.014,3.1,0.0081,1.744,6,1.935483871,0,0.001,0.000434077
323,594,Alr,T2_M1,INT1,A,2,1,1,4,14,Cold_Wet,3.2,0.004,800,Mc,Tc-1,Mc3,Tc-1_Mc3,-1,3,800,3.473,0.738225448,0.982,1.483,3.2,0.004,3.469,19,5.9375,0,0.001,0.000434077
324,480,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,3.9,0.007,557.1428571,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,557.1428571,2.57,0.6599162,0.61,1.544,3.9,0.007,2.563,13,3.333333333,0,0.001,0.000434077
328,287,Ram ,T2_M3,INT3,A,2,3,1,4,14,Cold_Wet,1.7,0.0014,1214.285714,Mc,Tc-1,Mc1,Tc-1_Mc1,-1,1,1214.285714,2.7724,0.678736837,0.769,1.352,1.7,0.0014,2.771,14,8.235294118,0,0.001,0.000434077
329,359,Ves,T2_M4,INT4,A,2,4,1,4,14,Cold_Wet,20.5,0.0356,575.8426966,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,575.8426966,2.6616,0.668535005,0.719,1.531,20.5,0.0356,2.626,9,0.43902439,0,0.001,0.000434077
331,597,Alr,T2_M1,INT1,A,2,1,1,4,14,Cold_Wet,5.6,0.0182,307.6923077,Mc,Tc-1,Mc3,Tc-1_Mc3,-1,3,307.6923077,1.8192,0.581972402,0.342,0.815,5.6,0.0182,1.801,12,2.142857143,0,0.001,0.000434077
333,196,Gud,T1_M3,ALP3,A,1,3,1,4,14,Cold_Wet,4.4,0.0078,564.1025641,Mc,Tc0,Mc1,Tc0_Mc1,0,1,564.1025641,2.5158,0.654734699,0.473,0.946,4.4,0.0078,2.508,13,2.954545455,0,0.001,0.000434077
335,362,Ves,T2_M4,INT4,A,2,4,1,4,14,Cold_Wet,10.3,0.013,792.3076923,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,792.3076923,2.849,0.685652184,0.688,1.6,10.3,0.013,2.836,6,0.582524272,0,0.001,0.000434077
337,599,Alr,T2_M1,INT1,A,2,1,1,4,14,Cold_Wet,16.9,0.0307,550.4885993,Mc,Tc-1,Mc3,Tc-1_Mc3,-1,3,550.4885993,3.1507,0.711866255,0.825,1.504,16.9,0.0307,3.12,4,0.236686391,0,0.001,0.000434077
338,490,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,2.8,0.0064,437.5,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,437.5,2.7324,0.675081446,0.501,1.53,2.8,0.0064,2.726,14,5,0,0.001,0.000434077
343,125,Vik,T3_M2,LOW2,A,3,2,1,4,14,Cold_Wet,6,0.0126,476.1904762,Mc,Tc-2,Mc2,Tc-2_Mc2,-2,2,476.1904762,2.6006,0.662814475,0.683,1.058,6,0.0126,2.588,19,3.166666667,0,0.001,0.000434077
344,601,Alr,T2_M1,INT1,A,2,1,1,4,14,Cold_Wet,30.3,0.0757,400.2642008,Mc,Tc-1,Mc3,Tc-1_Mc3,-1,3,400.2642008,3.6677,0.753406854,0.89,2.117,30.3,0.0757,3.592,8,0.264026403,0,0.001,0.000434077
347,69,Hog,T2_M2,INT2,A,2,2,1,4,14,Cold_Wet,15.4,0.0305,504.9180328,Mc,Tc-1,Mc2,Tc-1_Mc2,-1,2,504.9180328,3.1185,0.709142708,1.244,1.301,15.4,0.0305,3.088,8,0.519480519,0,0.001,0.000434077
350,131,Vik,T3_M2,LOW2,A,3,2,1,4,14,Cold_Wet,8.2,0.0165,496.969697,Mc,Tc-2,Mc2,Tc-2_Mc2,-2,2,496.969697,2.2605,0.62946057,0.608,0.913,8.2,0.0165,2.244,9,1.097560976,0,0.001,0.000434077
361,76,Hog,T2_M2,INT2,A,2,2,1,4,14,Cold_Wet,1.1,0.0024,458.3333333,Mc,Tc-1,Mc2,Tc-1_Mc2,-1,2,458.3333333,2.3494,0.63842935,0.749,0.97,1.1,0.0024,2.347,10,9.090909091,0,0.001,0.000434077
363,386,Ves,T2_M4,INT4,A,2,4,1,4,14,Cold_Wet,8.2,0.0198,414.1414141,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,414.1414141,1.9658,0.598330808,0.586,0.968,8.2,0.0198,1.946,12,1.463414634,0,0.001,0.000434077
366,519,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,9.8,0.0225,435.5555556,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,435.5555556,2.4825,0.651520298,0.601,0.892,9.8,0.0225,2.46,6,0.612244898,0,0.001,0.000434077
367,216,Gud,T1_M3,ALP3,A,1,3,1,4,14,Cold_Wet,6.8,0.0194,350.5154639,Mc,Tc0,Mc1,Tc0_Mc1,0,1,350.5154639,2.3154,0.635021057,0.482,0.515,6.8,0.0194,2.296,10,1.470588235,0,0.001,0.000434077
368,78,Hog,T2_M2,INT2,A,2,2,1,4,14,Cold_Wet,7.6,0.0158,481.0126582,Mc,Tc-1,Mc2,Tc-1_Mc2,-1,2,481.0126582,1.5818,0.554101332,0.435,0.832,7.6,0.0158,1.566,10,1.315789474,0,0.001,0.000434077
371,145,Vik,T3_M2,LOW2,A,3,2,1,4,14,Cold_Wet,4.3,0.0045,955.5555556,Mc,Tc-2,Mc2,Tc-2_Mc2,-2,2,955.5555556,2.4955,0.652778002,0.577,1.242,4.3,0.0045,2.491,20,4.651162791,0,0.001,0.000434077
373,524,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,3,0.0034,882.3529412,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,882.3529412,2.1974,0.622980358,0.777,0.973,3,0.0034,2.194,10,3.333333333,0,0.001,0.000434077
376,265,Ram ,T2_M3,INT3,A,2,3,1,4,14,Cold_Wet,2.9,0.0028,1035.714286,Mc,Tc-1,Mc1,Tc-1_Mc1,-1,1,1035.714286,1.5608,0.551547581,0.274,0.745,2.9,0.0028,1.558,15,5.172413793,0,0.001,0.000434077
377,403,Ves,T2_M4,INT4,A,2,4,1,4,14,Cold_Wet,31.2,0.1194,261.3065327,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,261.3065327,2.4044,0.643886754,0.549,0.972,31.2,0.1194,2.285,7,0.224358974,0,0.001,0.000434077
378,146,Vik,T3_M2,LOW2,A,3,2,1,4,14,Cold_Wet,7.9,0.0077,1025.974026,Mc,Tc-2,Mc2,Tc-2_Mc2,-2,2,1025.974026,2.3067,0.63414462,0.62,0.84,7.9,0.0077,2.299,13,1.64556962,0,0.001,0.000434077
380,526,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,5.4,0.0187,288.7700535,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,288.7700535,2.2067,0.623941541,0.609,1.063,5.4,0.0187,2.188,14,2.592592593,0,0.001,0.000434077
382,101,Hog,T2_M2,INT2,A,2,2,1,4,14,Cold_Wet,5.5,0.0073,753.4246575,Mc,Tc-1,Mc2,Tc-1_Mc2,-1,2,753.4246575,2.0393,0.60630611,0.544,1.07,5.5,0.0073,2.032,6,1.090909091,0,0.001,0.000434077
383,271,Ram ,T2_M3,INT3,A,2,3,1,4,14,Cold_Wet,2.2,0.0028,785.7142857,Mc,Tc-1,Mc1,Tc-1_Mc1,-1,1,785.7142857,2.3948,0.642939116,0.592,1.087,2.2,0.0028,2.392,14,6.363636364,0,0.001,0.000434077
404,291,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,1.7,0.0033,515.1515152,Mc,Tc0,Mc0,Tc0_Mc0,0,0,515.1515152,1.7243,0.571044657,0.518,0.806,1.7,0.0033,1.721,11,6.470588235,0,0.001,0.000434077
405,550,Ulv,T1_M1,ALP1,A,1,1,1,4,14,Cold_Wet,4,0.0072,555.5555556,Mc,Tc0,Mc3,Tc0_Mc3,0,3,555.5555556,1.5482,0.550008092,0.187,0.992,4,0.0072,1.541,8,2,0,0.001,0.000434077
407,127,Vik,T3_M2,LOW2,A,3,2,1,4,14,Cold_Wet,3.5,0.0091,384.6153846,Mc,Tc-2,Mc2,Tc-2_Mc2,-2,2,384.6153846,3.0011,0.699065539,1.163,1.154,3.5,0.0091,2.992,19,5.428571429,0,0.001,0.000434077
411,193,Gud,T1_M3,ALP3,A,1,3,1,4,14,Cold_Wet,8.2,0.0104,788.4615385,Mc,Tc0,Mc1,Tc0_Mc1,0,1,788.4615385,2.6584,0.668236777,0.688,1.444,8.2,0.0104,2.648,12,1.463414634,0,0.001,0.000434077
412,58,Hog,T2_M2,INT2,A,2,2,1,4,14,Cold_Wet,3.2,0.0049,653.0612245,Mc,Tc-1,Mc2,Tc-1_Mc2,-1,2,653.0612245,2.7549,0.677141388,0.797,1.38,3.2,0.0049,2.75,10,3.125,0,0.001,0.000434077
413,413,Ovst,T3_M4,LOW4,A,3,4,1,4,14,Cold_Wet,4,0.0124,322.5806452,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,322.5806452,2.4024,0.6436895,0.931,0.996,4,0.0124,2.39,4,1,0,0.001,0.000434077
418,128,Vik,T3_M2,LOW2,A,3,2,1,4,14,Cold_Wet,4.8,0.0098,489.7959184,Mc,Tc-2,Mc2,Tc-2_Mc2,-2,2,489.7959184,1.5568,0.551059445,0.655,0.71,4.8,0.0098,1.547,10,2.083333333,0,0.001,0.000434077
420,486,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,1.4,0.002,700,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,700,2.051,0.607562243,0.669,1.012,1.4,0.002,2.049,14,10,0,0.001,0.000434077
427,557,Ulv,T1_M1,ALP1,A,1,1,1,4,14,Cold_Wet,2.2,0.007,314.2857143,Mc,Tc0,Mc3,Tc0_Mc3,0,3,314.2857143,1.485,0.542202782,0.42,0.568,2.2,0.007,1.478,14,6.363636364,0,0.001,0.000434077
429,129,Vik,T3_M2,LOW2,A,3,2,1,4,14,Cold_Wet,3.6,0.0076,473.6842105,Mc,Tc-2,Mc2,Tc-2_Mc2,-2,2,473.6842105,1.9046,0.59157655,0.446,1.053,3.6,0.0076,1.897,7,1.944444444,0,0.001,0.000434077
430,607,Alr,T2_M1,INT1,A,2,1,1,4,14,Cold_Wet,4.3,0.0118,364.4067797,Mc,Tc-1,Mc3,Tc-1_Mc3,-1,3,364.4067797,1.8768,0.588473397,0.524,1.046,4.3,0.0118,1.865,4,0.930232558,0,0.001,0.000434077
431,487,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,4.5,0.016,281.25,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,281.25,2,0.602059991,0.618,0.846,4.5,0.016,1.984,5,1.111111111,0,0.001,0.000434077
438,558,Ulv,T1_M1,ALP1,A,1,1,1,4,14,Cold_Wet,1.7,0.0021,809.5238095,Mc,Tc0,Mc3,Tc0_Mc3,0,3,809.5238095,2.1561,0.618685989,0.523,1.222,1.7,0.0021,2.154,6,3.529411765,0,0.001,0.000434077
440,130,Vik,T3_M2,LOW2,A,3,2,1,4,14,Cold_Wet,8.6,0.0141,609.929078,Mc,Tc-2,Mc2,Tc-2_Mc2,-2,2,609.929078,2.3481,0.638299524,0.743,1.2,8.6,0.0141,2.334,15,1.744186047,0,0.001,0.000434077
441,611,Alr,T2_M1,INT1,A,2,1,1,4,14,Cold_Wet,5.7,0.0049,,Mc,Tc-1,Mc3,Tc-1_Mc3,-1,3,1163.265306,1.8859,0.58949162,0.616,0.738,5.7,0.0049,1.881,10,1.754385965,0,0.001,0.000434077
446,424,Ovst,T3_M4,LOW4,A,3,4,1,4,14,Cold_Wet,10.3,0.0174,591.954023,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,591.954023,2.5074,0.6539261,0.753,1.466,10.3,0.0174,2.49,6,0.582524272,0,0.001,0.000434077
447,251,Ram ,T2_M3,INT3,A,2,3,1,4,14,Cold_Wet,4.5,0.0074,608.1081081,Mc,Tc-1,Mc1,Tc-1_Mc1,-1,1,608.1081081,3.1654,0.713103958,0.951,1.552,4.5,0.0074,3.158,17,3.777777778,0,0.001,0.000434077
448,298,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,7.8,0.0134,582.0895522,Mc,Tc0,Mc0,Tc0_Mc0,0,0,582.0895522,2.8844,0.688811223,0.716,1.552,7.8,0.0134,2.871,9,1.153846154,0,0.001,0.000434077
457,426,Ovst,T3_M4,LOW4,A,3,4,1,4,14,Cold_Wet,10.8,0.0373,289.5442359,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,289.5442359,2.5823,0.661083519,0.752,1.298,10.8,0.0373,2.545,7,0.648148148,0,0.001,0.000434077
459,299,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,20.9,0.0298,701.3422819,Mc,Tc0,Mc0,Tc0_Mc0,0,0,701.3422819,2.1058,0.61339779,0.615,0.821,20.9,0.0298,2.076,10,0.4784689,0,0.001,0.000434077
460,573,Ulv,T1_M1,ALP1,A,1,1,1,4,14,Cold_Wet,1.3,0.001,1300,Mc,Tc0,Mc3,Tc0_Mc3,0,3,1300,1.17,0.501059262,0.396,0.562,1.3,0.001,1.169,6,4.615384615,0,0.001,0.000434077
464,501,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,2.9,0.0015,,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,1933.333333,2.3205,0.635534009,0.666,1.15,2.9,0.0015,2.319,9,3.103448276,0,0.001,0.000434077
465,686,Fau,T3_M1,LOW1,A,3,1,1,4,14,Cold_Wet,1,0.0004,,Mc,Tc-2,Mc3,Tc-2_Mc3,-2,3,2500,1.9594,0.597629379,0.252,1.394,1,0.0004,1.959,16,16,0,0.001,0.000434077
466,203,Gud,T1_M3,ALP3,A,1,3,1,4,14,Cold_Wet,3.9,0.004,975,Mc,Tc0,Mc1,Tc0_Mc1,0,1,975,3.177,0.714078165,0.635,1.866,3.9,0.004,3.173,16,4.102564103,0,0.001,0.000434077
470,301,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,2.1,0.0008,,Mc,Tc0,Mc0,Tc0_Mc0,0,0,2625,1.3718,0.527861806,0.439,0.488,2.1,0.0008,1.371,9,4.285714286,0,0.001,0.000434077
472,372,Ves,T2_M4,INT4,A,2,4,1,4,14,Cold_Wet,1.6,0.0005,,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,3200,4.3155,0.800407739,0.695,2.911,1.6,0.0005,4.315,17,10.625,0,0.001,0.000434077
481,310,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,1.1, ,,Mc,Tc0,Mc0,Tc0_Mc0,0,0,,1.54,0.549003262,0.426,0.76,1.1,,1.54,13,11.81818182,0,0.001,0.000434077
482,580,Ulv,T1_M1,ALP1,A,1,1,1,4,14,Cold_Wet,3.4,0.003,1133.333333,Mc,Tc0,Mc3,Tc0_Mc3,0,3,1133.333333,1.298,0.518250651,0.4,0.693,3.4,0.003,1.295,6,1.764705882,0,0.001,0.000434077
483,374,Ves,T2_M4,INT4,A,2,4,1,4,14,Cold_Wet,14,0.0162,864.1975309,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,864.1975309,2.5212,0.655253719,0.633,1.324,14,0.0162,2.505,9,0.642857143,0,0.001,0.000434077
492,314,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,5.9,0.0119,495.7983193,Mc,Tc0,Mc0,Tc0_Mc0,0,0,495.7983193,1.6719,0.564890845,0.418,0.832,5.9,0.0119,1.66,9,1.525423729,0,0.001,0.000434077
497,521,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,1.6, ,,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,,2.036,0.605951158,0.532,0.945,1.6,,2.036,15,9.375,0,0.001,0.000434077
498,694,Fau,T3_M1,LOW1,A,3,1,1,4,14,Cold_Wet,1.3,0.0043,302.3255814,Mc,Tc-2,Mc3,Tc-2_Mc3,-2,3,302.3255814,2.7573,0.677360539,0.583,1.343,1.3,0.0043,2.753,12,9.230769231,0,0.001,0.000434077
499,210,Gud,T1_M3,ALP3,A,1,3,1,4,14,Cold_Wet,5.7,0.0142,401.4084507,Mc,Tc0,Mc1,Tc0_Mc1,0,1,401.4084507,1.6062,0.557049809,0.499,0.515,5.7,0.0142,1.592,16,2.807017544,0,0.001,0.000434077
501,437,Ovst,T3_M4,LOW4,A,3,4,1,4,14,Cold_Wet,3.6,0.0038,947.3684211,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,947.3684211,2.7558,0.677223583,0.446,1.872,3.6,0.0038,2.752,12,3.333333333,0,0.001,0.000434077
507,643,Alr,T2_M1,INT1,A,2,1,1,4,14,Cold_Wet,4.5,0.005,900,Mc,Tc-1,Mc3,Tc-1_Mc3,-1,3,900,1.74,0.572871602,0.364,0.998,4.5,0.005,1.735,7,1.555555556,0,0.001,0.000434077
508,523,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,23.7,0.0483,490.6832298,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,490.6832298,1.9803,0.599915807,0.56,0.883,23.7,0.0483,1.932,13,0.548523207,0,0.001,0.000434077
509,704,Fau,T3_M1,LOW1,A,3,1,1,4,14,Cold_Wet,1.6,0.0036,444.4444444,Mc,Tc-2,Mc3,Tc-2_Mc3,-2,3,444.4444444,1.4676,0.540028994,0.485,0.562,1.6,0.0036,1.464,7,4.375,0,0.001,0.000434077
511,77,Hog,T2_M2,INT2,A,2,2,1,4,14,Cold_Wet,3.2,0.0052,615.3846154,Mc,Tc-1,Mc2,Tc-1_Mc2,-1,2,615.3846154,1.9352,0.59496681,0.61,0.896,3.2,0.0052,1.93,5,1.5625,0,0.001,0.000434077
515,587,Ulv,T1_M1,ALP1,A,1,1,1,4,14,Cold_Wet,2,0.0016,1250,Mc,Tc0,Mc3,Tc0_Mc3,0,3,1250,1.8176,0.581790422,0.468,0.916,2,0.0016,1.816,8,4,0,0.001,0.000434077
518,645,Alr,T2_M1,INT1,A,2,1,1,4,14,Cold_Wet,2.5,0.0065,384.6153846,Mc,Tc-1,Mc3,Tc-1_Mc3,-1,3,384.6153846,2.5505,0.658059119,0.938,0.975,2.5,0.0065,2.544,7,2.8,0,0.001,0.000434077
519,528,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,8,0.0102,784.3137255,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,784.3137255,2.4672,0.650035397,0.859,1.234,8,0.0102,2.457,12,1.5,0,0.001,0.000434077
522,83,Hog,T2_M2,INT2,A,2,2,1,4,14,Cold_Wet,6.8,0.0069,985.5072464,Mc,Tc-1,Mc2,Tc-1_Mc2,-1,2,985.5072464,3.1019,0.707731942,1.288,1.26,6.8,0.0069,3.095,10,1.470588235,0,0.001,0.000434077
523,441,Ovst,T3_M4,LOW4,A,3,4,1,4,14,Cold_Wet,7.9,0.0165,478.7878788,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,478.7878788,1.7255,0.571184568,0.436,0.869,7.9,0.0165,1.709,7,0.886075949,0,0.001,0.000434077
524,268,Ram ,T2_M3,INT3,A,2,3,1,4,14,Cold_Wet,14.8,0.0138,1072.463768,Mc,Tc-1,Mc1,Tc-1_Mc1,-1,1,1072.463768,1.7708,0.576433498,0.235,1.181,14.8,0.0138,1.757,16,1.081081081,0,0.001,0.000434077
533,88,Hog,T2_M2,INT2,A,2,2,1,4,14,Cold_Wet,20.2,0.0233,866.9527897,Mc,Tc-1,Mc2,Tc-1_Mc2,-1,2,866.9527897,2.0893,0.611648973,0.699,1.03,20.2,0.0233,2.066,12,0.594059406,0,0.001,0.000434077
536,321,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,1.7,0.002,850,Mc,Tc0,Mc0,Tc0_Mc0,0,0,850,1.423,0.534406899,0.4,0.642,1.7,0.002,1.421,12,7.058823529,0,0.001,0.000434077
538,393,Ves,T2_M4,INT4,A,2,4,1,4,14,Cold_Wet,22.1,0.0319,692.7899687,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,692.7899687,2.8259,0.683578318,0.466,1.282,22.1,0.0319,2.794,13,0.588235294,0,0.001,0.000434077
539,156,Vik,T3_M2,LOW2,A,3,2,1,4,14,Cold_Wet,6,0.0075,800,Mc,Tc-2,Mc2,Tc-2_Mc2,-2,2,800,1.7255,0.571184568,0.499,0.815,6,0.0075,1.718,9,1.5,0,0.001,0.000434077
541,530,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,2,0.0035,571.4285714,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,571.4285714,1.9465,0.596212107,0.282,1.379,2,0.0035,1.943,11,5.5,0,0.001,0.000434077
545,446,Ovst,T3_M4,LOW4,A,3,4,1,4,14,Cold_Wet,11.6,0.012,966.6666667,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,966.6666667,3.84,0.766412847,1.465,1.779,11.6,0.012,3.828,8,0.689655172,0,0.001,0.000434077
548,590,Ulv,T1_M1,ALP1,A,1,1,1,4,14,Cold_Wet,21.7,0.042,516.6666667,Mc,Tc0,Mc3,Tc0_Mc3,0,3,516.6666667,2.244,0.627775375,0.398,1.361,21.7,0.042,2.202,6,0.276497696,0,0.001,0.000434077
549,395,Ves,T2_M4,INT4,A,2,4,1,4,14,Cold_Wet,5.9,0.0115,513.0434783,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,513.0434783,4.3725,0.804309844,1.565,1.531,5.9,0.0115,4.361,12,2.033898305,0,0.001,0.000434077
284,658,Fau,T3_M1,LOW1,A,3,1,1,4,14,Cold_Wet,42.4,0.1008,420.6349206,Mc,Tc-2,Mc3,Tc-2_Mc3,-2,3,420.6349206,2.1038,0.613186187,0.325,1.082,42.4,0.1008,2.003,10,0.235849057,1,0.024584906,0.010547953
514,317,Skje,T1_M4,ALP4,A,1,4,1,4,14,Cold_Wet,34.4,0.0533,645.4033771,Mc,Tc0,Mc0,Tc0_Mc0,0,0,645.4033771,3.4103,0.733221347,0.882,1.806,34.4,0.0533,3.357,9,0.261627907,1,0.030069767,0.012866641
477,204,Gud,T1_M3,ALP3,A,1,3,1,4,14,Cold_Wet,33.6,0.0647,519.3199382,Mc,Tc0,Mc1,Tc0_Mc1,0,1,519.3199382,2.1467,0.617702617,0.488,1.09,33.6,0.0647,2.082,7,0.208333333,1,0.030761905,0.013158359
417,358,Ves,T2_M4,INT4,A,2,4,1,4,14,Cold_Wet,33.3,0.043,774.4186047,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,774.4186047,1.978,0.599664779,0.48,1.091,33.3,0.043,1.935,9,0.27027027,1,0.03103003,0.013271315
398,478,Arh,T3_M3,LOW3,A,3,3,1,4,14,Cold_Wet,29.7,0.0982,302.4439919,Mc,Tc-2,Mc1,Tc-2_Mc1,-2,1,302.4439919,2.7242,0.674328275,0.997,1.115,29.7,0.0982,2.626,10,0.336700337,1,0.034670034,0.014801871
434,61,Hog,T2_M2,INT2,A,2,2,1,4,14,Cold_Wet,26,0.0547,475.3199269,Mc,Tc-1,Mc2,Tc-1_Mc2,-1,2,475.3199269,1.4977,0.543782557,0.207,0.645,26,0.0547,1.443,12,0.461538462,1,0.039461538,0.016808424
444,201,Gud,T1_M3,ALP3,A,1,3,1,4,14,Cold_Wet,24.1,0.0614,392.5081433,Mc,Tc0,Mc1,Tc0_Mc1,0,1,392.5081433,2.0904,0.61176578,0.741,0.724,24.1,0.0614,2.029,4,0.165975104,1,0.042493776,0.018073471
