prub,Fcislo,lok,Lokcode,loctyp,klimabox,Otemp_act,Oprec_act,TreatTemo,TreatPrec,Tmcomb,Treatment,length,weight,SRzL,,changeTc,changeMc,changemerged,changeT,changeM,SRzL,Total biomass,Total biomass log,Aboveground,koreny-vaha,rhi-del,rhi-vah,biomass excluding rhizome,total ramets,ramets per unit length,1odnoze extra-pocet,ext ramets per length,logext ramets per length
147,197,Gud,T1_M3,ALP3,C,1,3,1,1,11,Cold_Dry,31.7,0.0782,405.370844,Mc,Tc0,Mc-2,Tc0_Mc-2,0,-2,405.370844,2.6482,0.667284806,0.625,1.292,31.7,0.0782,2.57,10,0.315457413,5,0.158728707,0.063981766
45,242,Ram,T2_M3,INT3,C,2,3,1,1,11,Cold_Dry,12.5,0.0135,925.9259259,Mc,Tc-1,Mc-2,Tc-1_Mc-2,-1,-2,925.9259259,1.4685,0.540141699,0.164,0.9,12.5,0.0135,1.455,10,0.8,2,0.161,0.06483222
117,243,Ram ,T2_M3,INT3,C,2,3,1,1,11,Cold_Dry,12.5,0.0243,514.4032922,Mc,Tc-1,Mc-2,Tc-1_Mc-2,-1,-2,514.4032922,2.2723,0.630661741,0.513,1.184,12.5,0.0243,2.248,10,0.8,2,0.161,0.06483222
176,137,Vik,T3_M2,LOW2,C,3,2,1,1,11,Cold_Dry,18.4,0.0556,330.9352518,Mc,Tc-2,Mc-1,Tc-2_Mc-1,-2,-1,330.9352518,3.0406,0.702482235,0.53,1.956,18.4,0.0556,2.985,13,0.706521739,3,0.164043478,0.065969202
149,415,Ovst,T3_M4,LOW4,C,3,4,1,1,11,Cold_Dry,12,0.0397,302.2670025,Mc,Tc-2,Mc-3,Tc-2_Mc-3,-2,-3,302.2670025,3.1057,0.708055293,0.62,1.571,12,0.0397,3.066,9,0.75,2,0.167666667,0.067318883
209,140,Vik,T3_M2,LOW2,C,3,2,1,1,11,Cold_Dry,24,0.0462,519.4805195,Mc,Tc-2,Mc-1,Tc-2_Mc-1,-2,-1,519.4805195,1.6412,0.561244534,0.385,0.79,24,0.0462,1.595,10,0.416666667,4,0.167666667,0.067318883
58,196,Gud,T1_M3,ALP3,C,1,3,1,1,11,Cold_Dry,34.3,0.1036,331.0810811,Mc,Tc0,Mc-2,Tc0_Mc-2,0,-2,331.0810811,2.1986,0.623104501,0.427,1.2,34.3,0.1036,2.095,16,0.466472303,6,0.175927114,0.070380404
162,296,Skje,T1_M4,ALP4,C,1,4,1,1,11,Cold_Dry,17.1,0.0371,460.916442,Mc,Tc0,Mc-3,Tc0_Mc-3,0,-3,460.916442,2.5721,0.660115721,0.423,1.788,17.1,0.0371,2.535,12,0.701754386,3,0.176438596,0.070569264
165,130,Vik,T3_M2,LOW2,C,3,2,1,1,11,Cold_Dry,5.5,0.0135,407.4074074,Mc,Tc-2,Mc-1,Tc-2_Mc-1,-2,-1,407.4074074,2.9995,0.698926573,0.473,2.155,5.5,0.0135,2.986,11,2,1,0.182818182,0.072917992
100,99,Hog,T2_M2,INT2,C,2,2,1,1,11,Cold_Dry,16.1,0.0528,304.9242424,Mc,Tc-1,Mc-1,Tc-1_Mc-1,-1,-1,304.9242424,2.7678,0.678318029,0.424,1.701,16.1,0.0528,2.715,9,0.559006211,3,0.187335404,0.074573418
